Player Name,Club,Position
Ben White,Arsenal,DEF
Bukayo Saka,Arsenal,MID
David Raya,Arsenal,GKP
Declan Rice,Arsenal,MID
Ethan Nwaneri,Arsenal,MID
Gabriel Jesus,Arsenal,FWD
Gabriel Magalhães,Arsenal,DEF
Gabriel Martinelli,Arsenal,MID
Jakub Kiwior,Arsenal,DEF
Jorginho,Arsenal,MID
Jurriën Timber,Arsenal,DEF
Kai Havertz,Arsenal,FWD
Leandro Trossard,Arsenal,MID
Martin Ødegaard,Arsenal,MID
Mikel Merino,Arsenal,MID
Myles Lewis-Skelly,Arsenal,DEF
Oleksandr Zinchenko,Arsenal,DEF
Raheem Sterling,Arsenal,MID
Riccardo Calafiori,Arsenal,DEF
Thomas Partey,Arsenal,MID
William Saliba,Arsenal,DEF
Amadou Onana,Aston Villa,MID
Axel Disasi,Aston Villa,DEF
Boubacar Kamara,Aston Villa,MID
Diego Carlos,Aston Villa,DEF
Emiliano Martínez,Aston Villa,GKP
Ezri Konsa,Aston Villa,DEF
Ian Maatsen,Aston Villa,DEF
Jacob Ramsey,Aston Villa,MID
Jhon Durán,Aston Villa,FWD
John McGinn,Aston Villa,MID
Lamare Bogarde,Aston Villa,DEF
Leon Bailey,Aston Villa,MID
Lucas Digne,Aston Villa,DEF
Marco Asensio,Aston Villa,DEF
Marcus Rashford,Aston Villa,MID
Matty Cash,Aston Villa,DEF
Morgan Rogers,Aston Villa,MID
Ollie Watkins,Aston Villa,FWD
Pau Torres,Aston Villa,DEF
Ross Barkley,Aston Villa,MID
Tyrone Mings,Aston Villa,DEF
Youri Tielemans,Aston Villa,MID
Adam Smith,Bournemouth,DEF
Alex Scott,Bournemouth,MID
Antoine Semenyo,Bournemouth,MID
Dango Ouattara,Bournemouth,MID
David Brooks,Bournemouth,MID
Dean Huijsen,Bournemouth,DEF
Evanilson,Bournemouth,FWD
Illia Zabarnyi,Bournemouth,DEF
Julián Araujo,Bournemouth,DEF
Justin Kluivert,Bournemouth,MID
Kepa,Bournemouth,GKP
Lewis Cook,Bournemouth,MID
Marcos Senesi,Bournemouth,DEF
Marcus Tavernier,Bournemouth,MID
Mark Travers,Bournemouth,GKP
Milos Kerkez,Bournemouth,DEF
Ryan Christie,Bournemouth,MID
Tyler Adams,Bournemouth,MID
Bryan Mbeumo,Brentford,MID
Christian Nørgaard,Brentford,MID
Ethan Pinnock,Brentford,DEF
Keane Lewis-Potter,Brentford,MID
Kevin Schade,Brentford,MID
Kristoffer Ajer,Brentford,DEF
Mads Roerslev,Brentford,DEF
Mark Flekken,Brentford,GKP
Mathias Jensen,Brentford,MID
Michael Kayode,Brentford,DEF
Mikkel Damsgaard,Brentford,MID
Nathan Collins,Brentford,DEF
Sepp van den Berg,Brentford,DEF
Vitaly Janelt,Brentford,MID
Yehor Yarmoliuk,Brentford,MID
Yoane Wissa,Brentford,FWD
Adam Webster,Brighton & Hove Albion,DEF
Bart Verbruggen,Brighton & Hove Albion,GKP
Brajan Gruda,Brighton & Hove Albion,MID
Carlos Baleba,Brighton & Hove Albion,MID
Danny Welbeck,Brighton & Hove Albion,FWD
Diego Gómez,Brighton & Hove Albion,MID
Georginio Rutter,Brighton & Hove Albion,MID
Igor Julio,Brighton & Hove Albion,DEF
Jack Hinshelwood,Brighton & Hove Albion,MID
Jan Paul van Hecke,Brighton & Hove Albion,DEF
João Pedro,Brighton & Hove Albion,FWD
Joël Veltman,Brighton & Hove Albion,DEF
Kaoru Mitoma,Brighton & Hove Albion,FWD
Lewis Dunk,Brighton & Hove Albion,DEF
